"Name";"Link";"Price";"Discount Percentage"
"SHEIN Yoga Trendy High Waisted Slim Fit Yoga Pants And Leggings With Golden Print";"https://eur.shein.com/SHEIN-Yoga-Trendy-High-Waisted-Slim-Fit-Yoga-Pants-And-Leggings-With-Golden-Print-p-27436106.html";10.00;0
"SHEIN LUNE Graphic Print Notched Neckline Blouse";"https://eur.shein.com/SHEIN-LUNE-Graphic-Print-Notched-Neckline-Blouse-p-22662510.html";11.00;0
"SHEIN Essnce Split Hem Tee & Flare Leg Pants";"https://eur.shein.com/SHEIN-Essnce-Split-Hem-Tee-Flare-Leg-Pants-p-23295303.html";11.20;20
"SHEIN LUNE Keyhole Neckline Tank Top";"https://eur.shein.com/SHEIN-LUNE-Keyhole-Neckline-Tank-Top-p-16760163.html";5.60;20
"SHEIN Coolane Flap Pocket Side Drawstring Hem Cargo Pants";"https://eur.shein.com/SHEIN-Coolane-Flap-Pocket-Side-Drawstring-Hem-Cargo-Pants-p-14571873.html";13.00;0
"SHEIN VARSITIE Sports Yoga Basic Seamless With  LEGGING";"https://eur.shein.com/SHEIN-VARSITIE-Sports-Yoga-Basic-Seamless-With-LEGGING-p-29560499.html";12.00;0
"Letter Embroidery Drop Shoulder Flannel Lounge Top";"https://eur.shein.com/Letter-Embroidery-Drop-Shoulder-Flannel-Lounge-Top-p-24107244.html";10.00;0
"SHEIN Qutie Eyelet Embroidery Tie Front Ruffle Trim Peplum Tee";"https://eur.shein.com/SHEIN-Qutie-Eyelet-Embroidery-Tie-Front-Ruffle-Trim-Peplum-Tee-p-13952968.html";5.00;0
"SHEIN Essnce Slogan & Graphic Print Tee";"https://eur.shein.com/SHEIN-Essnce-Slogan-Graphic-Print-Tee-p-23223434.html";3.20;20
"Solid Kangaroo Pocket Drawstring Thermal Lined Hoodie";"https://eur.shein.com/Solid-Kangaroo-Pocket-Drawstring-Thermal-Lined-Hoodie-p-21515426.html";6.00;25
"SHEIN LUNE Women's Spring/Summer Off-Shoulder Crisscross Decorated Pleated Cuff Casual Comfortable Long Sleeve T-Shirt";"https://eur.shein.com/SHEIN-LUNE-Women-s-Spring-Summer-Off-Shoulder-Crisscross-Decorated-Pleated-Cuff-Casual-Comfortable-Long-Sleeve-T-Shirt-p-27115715.html";5.00;0
